X,Y,id,nom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-77.0364331842664,38.8994103231586,"11",expo,"30","0","0","30",0.00350846089851,315.54705738163290
-77.0366667369991,38.8994134980463,"11",expo,"31","0","0","31",0.00374203520978,225.54588470572713
-77.036668776761,38.8990400509097,"11",expo,"32","0","0","32",0.00411548791689,224.87426255516436
-77.0367493473544,38.8990392571837,"11",expo,"33","0","0","33",0.00419606241982,270.64162799491749
-77.0368477658641,38.8990424320879,"11",expo,"34","0","0","34",0.00429453212612,273.00691359434092
-77.0369512837784,38.899049972485,"11",expo,"35","0","0","35",0.00439832430391,277.30493452020170
-77.0370675502043,38.8990714030828,"11",expo,"36","0","0","36",0.00451654931109,281.90204465327128
-77.0371882786093,38.8991000764189,"11",expo,"37","0","0","37",0.00464063600649,283.63425956137274
-77.0373116842017,38.8991306348404,"11",expo,"38","0","0","38",0.00476776884002,287.19111857776181
-77.0374565072937,38.8991847073397,"11",expo,"39","0","0","39",0.00492235720680,293.12854457013674
-77.0375304486611,38.8992204249314,"11",expo,"40","0","0","40",0.00500447341816,300.27220875534221
-77.0376140788973,38.8992784659795,"11",expo,"41","0","0","41",0.00510627115718,309.73501923496559
-77.0376722121102,38.8993360109034,"11",expo,"42","0","0","42",0.00518806900999,325.85065269122214
-77.0377211663948,38.8994512990418,"11",expo,"43","0","0","43",0.00531332026478,346.84640642918367
-77.0377247359781,38.8995132092902,"11",expo,"44","0","0","44",0.00537533333421,2.11753436370700
-77.0377175968116,38.8995671822831,"11",expo,"45","0","0","45",0.00542977643909,12.48372363251302
-77.0376982190739,38.8996288940006,"11",expo,"46","0","0","46",0.00549445899304,23.66737740333589
-77.0376655828842,38.8996856449217,"11",expo,"47","0","0","47",0.00555992492256,34.39603167708861
-77.0376217280042,38.8997400146427,"11",expo,"48","0","0","48",0.00562977703107,45.30316290092092
-77.0375498263987,38.8997967654751,"11",expo,"49","0","0","49",0.00572137669180,57.64316438898996
-77.0374951352839,38.8998239502982,"11",expo,"50","0","0","50",0.00578245150373,65.11831956649237
-77.0373083695887,38.8999045125598,"11",expo,"51","0","0","51",0.00598585185495,70.93348113761010
-77.0371221138341,38.8999537229604,"11",expo,"52","0","0","52",0.00617849886290,78.61096909799124
-77.0369210698059,38.8999818998679,"11",expo,"53","0","0","53",0.00638150782673,84.21657937345178
-77.036781856059,38.8999906307384,"11",expo,"54","0","0","54",0.00652099508567,86.66956698805880
-77.0366635498713,38.8999969804617,"11",expo,"55","0","0","55",0.00663947155189,133.61871457137795
-77.0366655896331,38.8996195677959,"11",expo,"56","0","0","56",0.00701688972970,260.33339052630987
-77.0391939381991,38.8982435423258,"12",batG1,"0","0","0","0",0.00000000000000,10.40011167790070
-77.0383086815526,38.8982506859403,"12",batG1,"1","0","0","1",0.00088528546893,134.37634601390064
-77.0383005225052,38.8976551838356,"12",batG1,"2","0","0","2",0.00148084346505,224.53036853144633
-77.0391847592708,38.8976528026109,"12",batG1,"3","0","0","3",0.00236508343694,314.57618985646485
-77.0391918984373,38.8982427485909,"12",batG1,"4","0","0","4",0.00295507261226,325.28461959885021
-77.0391939381991,38.8982435423258,"12",batG1,"5","0","0","5",0.00295726136617,10.40011167790070
