X,Y,id,nom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-77.0366641235544,38.8975579008196,"1",meridian,"36","0","0","36",0.00219348973834,307.35495273325500
-77.0368525465561,38.8975579008196,"1",meridian,"37","0","0","37",0.00238191274001,288.94627398876116
-77.0368538851498,38.8976859413142,"2",aileOuest,"0","0","0","0",0.00000000000000,150.79063029591950
-77.0368533752093,38.8975962485007,"2",aileOuest,"1","0","0","1",0.00008969426307,224.70884348047977
-77.0372965134731,38.8975942641451,"2",aileOuest,"2","0","0","2",0.00053283696969,224.69692035441577
-77.0372949836517,38.8973435403737,"2",aileOuest,"3","0","0","3",0.00078356540822,225.15427929985944
-77.0373640805847,38.8973443341188,"2",aileOuest,"4","0","0","4",0.00085266690007,250.10704710009853
-77.0373747893344,38.8973352060504,"2",aileOuest,"5","0","0","5",0.00086673811021,235.34451849726591
-77.0373870279055,38.8973284592164,"2",aileOuest,"6","0","0","6",0.00088071317342,247.43154742024848
-77.0373992664767,38.8973248873629,"2",aileOuest,"7","0","0","7",0.00089346232090,259.52329665970939
-77.0374089553455,38.8973240936176,"2",aileOuest,"8","0","0","8",0.00090318364851,275.65794094440702
-77.0374186442144,38.897326871726,"2",aileOuest,"9","0","0","9",0.00091326293744,284.44618983315968
-77.0374273132022,38.897328856089,"2",aileOuest,"10","0","0","10",0.00092215613977,288.60565276064489
-77.0374431213567,38.8973359997955,"2",aileOuest,"11","0","0","11",0.00093950348216,305.44227749786927
-77.0374502605231,38.8973435403737,"2",aileOuest,"12","0","0","12",0.00094988750924,303.02404412263974
-77.0374558698683,38.8973455247363,"2",aileOuest,"13","0","0","13",0.00095583750484,234.74087417133245
-77.0374558698683,38.8973336185601,"2",aileOuest,"14","0","0","14",0.00096774368105,225.00000000000000
-77.037821114726,38.8973336185601,"2",aileOuest,"15","0","0","15",0.00133298853880,315.00000000000000
-77.037821114726,38.8976057734066,"2",aileOuest,"16","0","0","16",0.00160514338530,44.91324627167574
-77.0376900600266,38.8976061702777,"2",aileOuest,"17","0","0","17",0.00173619868560,44.41248435505441
-77.0376910799076,38.8976645102982,"2",aileOuest,"18","0","0","18",0.00179454762011,44.72674102496041
-77.0375911315765,38.8976637165568,"2",aileOuest,"19","0","0","19",0.00189449910287,135.22750294158175
-77.0375911315765,38.8976045827934,"2",aileOuest,"20","0","0","20",0.00195363286623,134.74568224369293
-77.0374570172343,38.8976057734066,"2",aileOuest,"21","0","0","21",0.00208775249321,133.33107414977840
-77.0374565072938,38.8975954547585,"2",aileOuest,"22","0","0","22",0.00209808373412,129.55835014336702
-77.0374340699134,38.8975986297273,"2",aileOuest,"23","0","0","23",0.00212074463585,40.65288674207715
-77.0374350897943,38.8976899100201,"2",aileOuest,"24","0","0","24",0.00221203062610,45.17351248817828
-77.0372968959284,38.8976875287966,"2",aileOuest,"25","0","0","25",0.00235024500594,90.35467074119374
-77.0370513595947,38.8976887194084,"2",aileOuest,"26","0","0","26",0.00259578422629,43.86662733202940
-77.0370523794756,38.897718087826,"2",aileOuest,"27","0","0","27",0.00262517034731,36.35883190528471
-77.0370335116785,38.8977232471413,"2",aileOuest,"28","0","0","28",0.00264473082546,72.81311883743496
-77.0370105643576,38.8977311845488,"2",aileOuest,"29","0","0","29",0.00266901213460,63.39420921106174
-77.0369947562031,38.8977419000475,"2",aileOuest,"30","0","0","30",0.00268810976952,58.26459599804326
-77.0369763983464,38.8977522186744,"2",aileOuest,"31","0","0","31",0.00270916885221,69.68748406339542
-77.0369565106683,38.8977561873766,"2",aileOuest,"32","0","0","32",0.00272944865344,83.92853777952972
-77.0369299937642,38.8977565842468,"2",aileOuest,"33","0","0","33",0.00275596852734,134.98252237593314
-77.0369310136451,38.8976855444436,"2",aileOuest,"34","0","0","34",0.00282701565114,135.11398836698507
-77.0368545225754,38.8976863381848,"2",aileOuest,"35","0","0","35",0.00290351083903,105.65623755923421
-77.0368538851498,38.8976859413142,"2",aileOuest,"36","0","0","36",0.00290426171694,150.79063029591950
